49354,2014-05-28 00:00:00.0,3091,PENDING
52516,2014-06-19 00:00:00.0,3098,CLOSED
52736,2014-06-20 00:00:00.0,3094,COMPLETE
53505,2014-06-27 00:00:00.0,3099,PROCESSING
55795,2014-07-13 00:00:00.0,3099,COMPLETE
55938,2014-07-14 00:00:00.0,3095,ON_HOLD
56678,2014-07-18 00:00:00.0,3091,PENDING_PAYMENT
57402,2014-07-22 00:00:00.0,3095,PENDING
57513,2014-07-23 00:00:00.0,3097,COMPLETE
57942,2013-07-31 00:00:00.0,3095,PENDING_PAYMENT
58639,2013-08-27 00:00:00.0,3090,COMPLETE
60178,2013-10-28 00:00:00.0,3090,COMPLETE
60594,2013-11-14 00:00:00.0,3099,PENDING_PAYMENT
